Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,League,Team
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,SFSFL,Inter San Francisco
Adrien Argast,us USA,MF,21,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,SFSFL,Inter San Francisco
Dylan Autran,us USA,MF,30,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,SFSFL,Inter San Francisco
Jesús Enríquez,mx MEX,MF,27,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,SFSFL,Inter San Francisco
Matthew Fondy,us USA,FW,35,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,SFSFL,Inter San Francisco
Noah Gaines,us USA,DF,30,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,SFSFL,Inter San Francisco
Jesus Medina,us USA,GK,23,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,SFSFL,Inter San Francisco
Max Ornstil,us USA,DF,30,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,SFSFL,Inter San Francisco
Javier Rivera,es ESP,MF,26,1,1,69,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,SFSFL,Inter San Francisco
Pierre Rappolt,us USA,DF,34,1,1,51,0.6,0,0,0,0,0,0,1,0,0,0,0,0,0,SFSFL,Inter San Francisco
Oscar Cervantes,us USA,DF,28,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,SFSFL,Inter San Francisco
Oscar Shub,us USA,MF,22,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,SFSFL,Inter San Francisco
Julio Cervantes,us USA,MF,31,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,SFSFL,Inter San Francisco
Bryan Canchola,us USA,DF,29,1,0,39,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,SFSFL,Inter San Francisco
Nikolai Littleton,us USA,MF,33,1,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,SFSFL,Inter San Francisco
Florian Deletioğlu,de GER,MF,23,1,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,SFSFL,Inter San Francisco
Miles Montgomery,us USA,FW,26,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,SFSFL,Inter San Francisco
