Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
91,Myer Bevan,nz NZL,FW,nz Auckland City,27,1997,3,3,252,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
92,Mads Bidstrup,dk DEN,MF,at RB Salzburg,23,2001,2,2,180,2,0,1,1,0,0,0,0,0,0,0.5,0.5,0,0.5,Matches
93,Tom Bischof,de GER,MF,de Bayern Munich,19,2005,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
94,Lautaro Blanco,ar ARG,DF,ar Boca Juniors,25,1999,3,3,270,3,0,1,1,0,0,0,0,0,0,0.33,0.33,0,0.33,Matches
95,Oscar Bobb,no NOR,"FW,MF",eng Manchester City,21,2003,2,0,61,0.7,1,0,1,1,0,0,0,0,1.48,0,1.48,1.48,1.48,Matches
96,Sacha Boey,fr FRA,DF,de Bayern Munich,24,2000,4,2,206,2.3,1,1,2,1,0,0,0,0,0.44,0.44,0.87,0.44,0.87,Matches
97,Darijan Bojanić,se SWE,MF,kr Ulsan HD,30,1994,3,3,235,2.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
98,Gonçalo Borges,pt POR,MF,pt Porto,23,2001,2,0,77,0.9,0,1,1,0,0,0,0,0,0,1.17,1.17,0,1.17,Matches
99,Miguel Borja,co COL,FW,ar River Plate,32,1993,3,1,150,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
100,Denis Bouanga,ga GAB,FW,us LAFC,30,1994,3,3,270,3,1,0,1,1,0,1,0,0,0.33,0,0.33,0.33,0.33,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
101,Ayoub Boucheta,ma MAR,DF,ma Wydad AC,31,1993,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
102,Raed Bouchniba,tn TUN,DF,tn Espérance Tunis,21,2003,2,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
103,Yassine Bounou,ma MAR,GK,sa Al-Hilal,33,1991,5,5,480,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
104,Abdelmounaim Boutouil,ma MAR,DF,ma Wydad AC,27,1998,2,2,167,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
105,Nikko Boxall,nz NZL,DF,nz Auckland City,32,1992,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
106,Danilo Boza,br BRA,DF,jp Urawa Reds,26,1998,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
107,Malcom Braida,ar ARG,"DF,MF",ar Boca Juniors,27,1997,2,0,69,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
108,Julian Brandt,de GER,"MF,FW",de Dortmund,28,1996,5,3,253,2.8,0,1,1,0,0,0,0,0,0,0.36,0.36,0,0.36,Matches
109,Bruma,pt POR,FW,pt Benfica,30,1994,1,1,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
110,Ali Al-Bulaihi,sa KSA,DF,sa Al-Hilal,35,1989,2,0,41,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
111,Sergio Busquets,es ESP,MF,us Inter Miami,36,1988,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
112,Arthur Cabral,br BRA,FW,br Botafogo (RJ),26,1998,2,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
113,Gustavo Cabral,ar ARG,DF,mx Pachuca,39,1985,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
114,Moisés Caicedo,ec ECU,MF,eng Chelsea,23,2001,5,5,472,5.2,0,1,1,0,0,0,3,0,0,0.19,0.19,0,0.19,Matches
115,Andrea Cambiaso,it ITA,MF,it Juventus,24,2000,4,3,259,2.9,0,1,1,0,0,0,1,0,0,0.35,0.35,0,0.35,Matches
116,Sergio Canales,es ESP,MF,mx Monterrey,33,1991,3,3,265,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
117,João Cancelo,pt POR,DF,sa Al-Hilal,30,1994,5,5,403,4.5,0,1,1,0,0,0,0,0,0,0.22,0.22,0,0.22,Matches
